Date/Time,P16_TRH1_TMP
2018-03-21 17:00:00, 24.3
2018-03-21 16:55:00, 22.0
2018-03-21 16:50:00, 21.9
2018-03-21 16:45:00, 23.2
2018-03-21 16:40:00, 24.1
2018-03-21 16:35:00, 25.3
2018-03-21 16:30:00, 22.7
2018-03-21 16:25:00, 21.8
2018-03-21 16:20:00, 22.3
2018-03-21 16:15:00, 24.1
2018-03-21 16:10:00, 24.7
2018-03-21 16:05:00, 24.2
2018-03-21 16:00:00, 22.1
2018-03-21 15:55:00, 23.9
2018-03-21 15:50:00, 24.3
2018-03-21 15:45:00, 24.5
2018-03-21 15:40:00, 22.0
2018-03-21 15:35:00, 21.7
2018-03-21 15:30:00, 22.9
2018-03-21 15:25:00, 24.3
2018-03-21 15:20:00, 25.5
2018-03-21 15:15:00, 22.8
2018-03-21 15:10:00, 21.6
2018-03-21 15:05:00, 22.0
2018-03-21 15:00:00, 23.9
2018-03-21 14:55:00, 24.5
2018-03-21 14:50:00, 25.3
2018-03-21 14:45:00, 22.7
2018-03-21 14:40:00, 21.6
2018-03-21 14:35:00, 22.8
2018-03-21 14:30:00, 24.1
2018-03-21 14:25:00, 24.5
2018-03-21 14:20:00, 24.0
2018-03-21 14:15:00, 22.0
2018-03-21 14:10:00, 21.7
2018-03-21 14:05:00, 23.2
2018-03-21 14:00:00, 24.3
2018-03-21 13:55:00, 25.4
2018-03-21 13:50:00, 22.8
2018-03-21 13:45:00, 21.7
2018-03-21 13:40:00, 22.8
2018-03-21 13:35:00, 24.0
2018-03-21 13:30:00, 24.4
2018-03-21 13:25:00, 24.0
2018-03-21 13:20:00, 22.0
2018-03-21 13:15:00, 21.8
2018-03-21 13:10:00, 23.2
2018-03-21 13:05:00, 24.5
2018-03-21 13:00:00, 25.3
2018-03-21 12:55:00, 22.7
2018-03-21 12:50:00, 21.8
2018-03-21 12:45:00, 22.8
2018-03-21 12:40:00, 24.0
2018-03-21 12:35:00, 24.5
2018-03-21 12:30:00, 23.7
2018-03-21 12:25:00, 22.0
2018-03-21 12:20:00, 21.8
2018-03-21 12:15:00, 22.6
2018-03-21 12:10:00, 24.0
2018-03-21 12:05:00, 26.0
2018-03-21 12:00:00, 27.0
2018-03-21 11:55:00, 25.5
2018-03-21 11:50:00, 22.7
2018-03-21 11:45:00, 23.6
2018-03-21 11:40:00, 24.4
2018-03-21 11:35:00, 23.3
2018-03-21 11:30:00, 22.3
2018-03-21 11:25:00, 23.3
2018-03-21 11:20:00, 24.2
2018-03-21 11:15:00, 25.3
2018-03-21 11:10:00, 22.3
2018-03-21 11:05:00, 22.5
2018-03-21 11:00:00, 24.1
2018-03-21 10:55:00, 24.1
2018-03-21 10:50:00, 25.0
2018-03-21 10:45:00, 22.3
2018-03-21 10:40:00, 22.7
2018-03-21 10:35:00, 24.7
2018-03-21 10:30:00, 25.3
2018-03-21 10:25:00, 23.6
2018-03-21 10:20:00, 22.1
2018-03-21 10:15:00, 23.2
2018-03-21 10:10:00, 24.4
2018-03-21 10:05:00, 23.6
2018-03-21 10:00:00, 22.1
